,GameID,Date,Start_EST,H/A,Team,W/L,Overtime,PT_Diff,Wins,GP,PCT
0,1.0,2016-10-25,19:30:00,Home,Cleveland Cavaliers,1,0.0,29.0,1,1,1.0
0,1.0,2016-10-25,19:30:00,Away,New York Knicks,0,0.0,-29.0,0,1,0.0
1,2.0,2016-10-25,22:00:00,Home,Portland Trail Blazers,1,0.0,9.0,1,1,1.0
1,2.0,2016-10-25,22:00:00,Away,Utah Jazz,0,0.0,-9.0,0,1,0.0
2,3.0,2016-10-25,22:30:00,Away,San Antonio Spurs,1,0.0,29.0,1,1,1.0
2,3.0,2016-10-25,22:30:00,Home,Golden State Warriors,0,0.0,-29.0,0,1,0.0
3,4.0,2016-10-26,19:00:00,Home,Indiana Pacers,1,1.0,9.0,1,1,1.0
3,4.0,2016-10-26,19:00:00,Away,Dallas Mavericks,0,1.0,-9.0,0,1,0.0
4,5.0,2016-10-26,19:00:00,Away,Miami Heat,1,0.0,12.0,1,1,1.0
4,5.0,2016-10-26,19:00:00,Home,Orlando Magic,0,0.0,-12.0,0,1,0.0
5,6.0,2016-10-26,19:30:00,Home,Boston Celtics,1,0.0,5.0,1,1,1.0
5,6.0,2016-10-26,19:30:00,Away,Brooklyn Nets,0,0.0,-5.0,0,1,0.0
6,7.0,2016-10-26,19:30:00,Home,Toronto Raptors,1,0.0,18.0,1,1,1.0
6,7.0,2016-10-26,19:30:00,Away,Detroit Pistons,0,0.0,-18.0,0,1,0.0
7,8.0,2016-10-26,20:00:00,Home,Memphis Grizzlies,1,0.0,4.0,1,1,1.0
7,8.0,2016-10-26,20:00:00,Away,Minnesota Timberwolves,0,0.0,-4.0,0,1,0.0
8,9.0,2016-10-26,20:00:00,Away,Charlotte Hornets,1,0.0,11.0,1,1,1.0
8,9.0,2016-10-26,20:00:00,Home,Milwaukee Bucks,0,0.0,-11.0,0,1,0.0
9,10.0,2016-10-26,20:00:00,Away,Denver Nuggets,1,0.0,5.0,1,1,1.0
9,10.0,2016-10-26,20:00:00,Home,New Orleans Pelicans,0,0.0,-5.0,0,1,0.0
10,11.0,2016-10-26,20:00:00,Away,Oklahoma City Thunder,1,0.0,6.0,1,1,1.0
10,11.0,2016-10-26,20:00:00,Home,Philadelphia 76ers,0,0.0,-6.0,0,1,0.0
11,12.0,2016-10-26,22:00:00,Away,Sacramento Kings,1,0.0,19.0,1,1,1.0
11,12.0,2016-10-26,22:00:00,Home,Phoenix Suns,0,0.0,-19.0,0,1,0.0
12,13.0,2016-10-26,22:30:00,Home,Los Angeles Lakers,1,0.0,6.0,1,1,1.0
12,13.0,2016-10-26,22:30:00,Away,Houston Rockets,0,0.0,-6.0,0,1,0.0
13,14.0,2016-10-27,19:30:00,Home,Atlanta Hawks,1,0.0,15.0,1,1,1.0
13,14.0,2016-10-27,19:30:00,Away,Washington Wizards,0,0.0,-15.0,0,1,0.0
14,15.0,2016-10-27,20:00:00,Home,Chicago Bulls,1,0.0,6.0,1,1,1.0
14,15.0,2016-10-27,20:00:00,Away,Boston Celtics,0,0.0,-6.0,1,2,0.5
15,16.0,2016-10-27,22:30:00,Away,Los Angeles Clippers,1,0.0,8.0,1,1,1.0
15,16.0,2016-10-27,22:30:00,Home,Portland Trail Blazers,0,0.0,-8.0,1,2,0.5
16,17.0,2016-10-27,22:30:00,Away,San Antonio Spurs,1,0.0,8.0,2,2,1.0
16,17.0,2016-10-27,22:30:00,Home,Sacramento Kings,0,0.0,-8.0,1,2,0.5
17,18.0,2016-10-28,19:00:00,Away,Cleveland Cavaliers,1,0.0,3.0,2,2,1.0
17,18.0,2016-10-28,19:00:00,Home,Toronto Raptors,0,0.0,-3.0,1,2,0.5
18,19.0,2016-10-28,19:30:00,Home,Brooklyn Nets,1,0.0,9.0,1,2,0.5
18,19.0,2016-10-28,19:30:00,Away,Indiana Pacers,0,0.0,-9.0,1,2,0.5
19,20.0,2016-10-28,19:30:00,Home,Detroit Pistons,1,0.0,26.0,1,2,0.5
19,20.0,2016-10-28,19:30:00,Away,Orlando Magic,0,0.0,-26.0,0,2,0.0
20,21.0,2016-10-28,20:00:00,Away,Charlotte Hornets,1,0.0,6.0,2,2,1.0
20,21.0,2016-10-28,20:00:00,Home,Miami Heat,0,0.0,-6.0,1,2,0.5
21,22.0,2016-10-28,20:00:00,Home,Oklahoma City Thunder,1,1.0,3.0,2,2,1.0
21,22.0,2016-10-28,20:00:00,Away,Phoenix Suns,0,1.0,-3.0,0,2,0.0
22,23.0,2016-10-28,20:30:00,Away,Houston Rockets,1,0.0,8.0,1,2,0.5
22,23.0,2016-10-28,20:30:00,Home,Dallas Mavericks,0,0.0,-8.0,0,2,0.0
23,24.0,2016-10-28,21:00:00,Home,Utah Jazz,1,0.0,7.0,1,2,0.5
23,24.0,2016-10-28,21:00:00,Away,Los Angeles Lakers,0,0.0,-7.0,1,2,0.5
24,25.0,2016-10-28,21:30:00,Away,Golden State Warriors,1,0.0,8.0,1,2,0.5
24,25.0,2016-10-28,21:30:00,Home,New Orleans Pelicans,0,0.0,-8.0,0,2,0.0
25,26.0,2016-10-29,12:30:00,Away,Atlanta Hawks,1,0.0,32.0,2,2,1.0
25,26.0,2016-10-29,12:30:00,Home,Philadelphia 76ers,0,0.0,-32.0,0,2,0.0
26,27.0,2016-10-29,19:00:00,Away,Boston Celtics,1,0.0,6.0,2,3,0.666666666667
26,27.0,2016-10-29,19:00:00,Home,Charlotte Hornets,0,0.0,-6.0,2,3,0.666666666667
27,28.0,2016-10-29,19:30:00,Home,Cleveland Cavaliers,1,0.0,6.0,3,3,1.0
27,28.0,2016-10-29,19:30:00,Away,Orlando Magic,0,0.0,-6.0,0,3,0.0
28,29.0,2016-10-29,19:30:00,Home,New York Knicks,1,0.0,7.0,1,2,0.5
28,29.0,2016-10-29,19:30:00,Away,Memphis Grizzlies,0,0.0,-7.0,1,2,0.5
29,30.0,2016-10-29,20:00:00,Home,Chicago Bulls,1,0.0,17.0,2,2,1.0
29,30.0,2016-10-29,20:00:00,Away,Indiana Pacers,0,0.0,-17.0,1,3,0.333333333333
30,31.0,2016-10-29,20:00:00,Home,Milwaukee Bucks,1,0.0,2.0,1,2,0.5
30,31.0,2016-10-29,20:00:00,Away,Brooklyn Nets,0,0.0,-2.0,1,3,0.333333333333
31,32.0,2016-10-29,20:00:00,Home,San Antonio Spurs,1,0.0,19.0,3,3,1.0
31,32.0,2016-10-29,20:00:00,Away,New Orleans Pelicans,0,0.0,-19.0,0,3,0.0
32,33.0,2016-10-29,21:00:00,Away,Portland Trail Blazers,1,1.0,2.0,2,3,0.666666666667
32,33.0,2016-10-29,21:00:00,Home,Denver Nuggets,0,1.0,-2.0,1,2,0.5
33,34.0,2016-10-29,22:30:00,Home,Sacramento Kings,1,0.0,3.0,2,3,0.666666666667
33,34.0,2016-10-29,22:30:00,Away,Minnesota Timberwolves,0,0.0,-3.0,0,2,0.0
34,35.0,2016-10-30,16:30:00,Home,Los Angeles Clippers,1,0.0,13.0,2,2,1.0
34,35.0,2016-10-30,16:30:00,Away,Utah Jazz,0,0.0,-13.0,1,3,0.333333333333
35,36.0,2016-10-30,18:00:00,Home,Detroit Pistons,1,0.0,15.0,2,3,0.666666666667
35,36.0,2016-10-30,18:00:00,Away,Milwaukee Bucks,0,0.0,-15.0,1,3,0.333333333333
36,37.0,2016-10-30,18:00:00,Away,San Antonio Spurs,1,0.0,7.0,4,4,1.0
36,37.0,2016-10-30,18:00:00,Home,Miami Heat,0,0.0,-7.0,1,3,0.333333333333
